company,field,gap
台燿,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6274&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
欣興,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3037&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
欣興,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3037&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
欣興,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3037&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
南電,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=8046&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
南電,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=8046&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
南電,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=8046&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
景碩,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3189&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
景碩,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3189&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
景碩,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3189&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台達電,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2308&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台達電,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2308&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台達電,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2308&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
光寶科,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2301&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
光寶科,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2301&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
光寶科,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2301&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
全漢,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3015&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
全漢,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3015&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
全漢,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3015&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
國巨,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2327&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
國巨,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2327&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
國巨,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2327&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
華新科,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2492&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
華新科,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2492&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
華新科,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2492&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台半,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=5425&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台半,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=5425&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台半,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=5425&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
嘉澤,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3533&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
嘉澤,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3533&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
嘉澤,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3533&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
貿聯-KY,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3665&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
貿聯-KY,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3665&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
貿聯-KY,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3665&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
新普,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6121&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
新普,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6121&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
新普,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6121&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
雙鴻,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3324&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
雙鴻,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3324&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
雙鴻,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3324&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
奇鋐,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3017&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
奇鋐,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3017&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
奇鋐,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3017&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
健策,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3653&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
健策,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3653&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
健策,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3653&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
泰碩,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3338&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
泰碩,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3338&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
泰碩,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3338&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
建準,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2421&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
建準,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2421&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
建準,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2421&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
高力,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=8996&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
高力,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=8996&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
高力,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=8996&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
鴻海,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2317&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
鴻海,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2317&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
鴻海,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2317&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
廣達,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2382&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
廣達,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2382&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
廣達,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2382&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
緯穎,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6669&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
緯穎,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6669&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
緯穎,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6669&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
緯創,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3231&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
緯創,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3231&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
緯創,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3231&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
英業達,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2356&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
英業達,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2356&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
英業達,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2356&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
和碩,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=4938&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
和碩,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=4938&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
和碩,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=4938&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
智邦,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2345&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
智邦,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2345&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
智邦,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2345&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
上詮,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3363&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
上詮,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3363&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
